,header_tokens,msg_tokens
3439,"['[', '2020-03-12', ' ', '22:50:19,161', ']', ' ', 'INFO']","[' ', 'Deleted', ' ', 'offset', ' ', 'index', ' ', '/data/appData/kafka/__consumer_offsets-49/00000000007989157579.index.deleted', '.', ' ', '(', 'kafka.log.LogSegment', ')']"
3440,"['[', '2020-03-12', ' ', '22:50:19,161', ']', ' ', 'INFO']","[' ', 'Deleted', ' ', 'time', ' ', 'index', ' ', '/data/appData/kafka/__consumer_offsets-49/00000000007989157579.timeindex.deleted', '.', ' ', '(', 'kafka.log.LogSegment', ')']"
3441,"['[', '2020-03-12', ' ', '22:51:09,317', ']', ' ', 'INFO']","[' ', '[', 'GroupMetadataManager', ' ', 'brokerId', '=', '1', ']', ' ', 'Removed', ' ', '0', ' ', 'expired', ' ', 'offsets', ' ', 'in', ' ', '0', ' ', 'milliseconds', '.', ' ', '(', 'kafka.coordinator.group.GroupMetadataManager', ')']"
3442,"['[', '2020-03-12', ' ', '22:56:53,301', ']', ' ', 'INFO']","[' ', '[', 'Log', ' ', 'partition', '=', 'hostAgentTopic-0', ',', ' ', 'dir', '=', '/data/appData/kafka', ']', ' ', 'Incrementing', ' ', 'log', ' ', 'start', ' ', 'offset', ' ', 'to', ' ', '1177360', ' ', '(', 'kafka.log.Log', ')']"
3443,"['[', '2020-03-12', ' ', '23:01:09,317', ']', ' ', 'INFO']","[' ', '[', 'GroupMetadataManager', ' ', 'brokerId', '=', '1', ']', ' ', 'Removed', ' ', '0', ' ', 'expired', ' ', 'offsets', ' ', 'in', ' ', '0', ' ', 'milliseconds', '.', ' ', '(', 'kafka.coordinator.group.GroupMetadataManager', ')']"
3444,"['[', '2020-03-12', ' ', '23:11:09,317', ']', ' ', 'INFO']","[' ', '[', 'GroupMetadataManager', ' ', 'brokerId', '=', '1', ']', ' ', 'Removed', ' ', '0', ' ', 'expired', ' ', 'offsets', ' ', 'in', ' ', '0', ' ', 'milliseconds', '.', ' ', '(', 'kafka.coordinator.group.GroupMetadataManager', ')']"
3445,"['[', '2020-03-12', ' ', '23:18:38,965', ']', ' ', 'INFO']","[' ', '[', 'Log', ' ', 'partition', '=', 'pageAgentTopic-3', ',', ' ', 'dir', '=', '/data/appData/kafka', ']', ' ', 'Found', ' ', 'deletable', ' ', 'segments', ' ', 'with', ' ', 'base', ' ', 'offsets', ' ', '[', '1303722', ']', ' ', 'due', ' ', 'to', ' ', 'retention', ' ', 'time', ' ', '21600000ms', ' ', 'breach', ' ', '(', 'kafka.log.Log', ')']"
3446,"['[', '2020-03-12', ' ', '23:18:38,965', ']', ' ', 'INFO']","[' ', '[', 'Log', ' ', 'partition', '=', 'pageAgentTopic-3', ',', ' ', 'dir', '=', '/data/appData/kafka', ']', ' ', 'Scheduling', ' ', 'log', ' ', 'segment', ' ', '[', 'baseOffset', ' ', '1303722', ',', ' ', 'size', ' ', '9403720', ']', ' ', 'for', ' ', 'deletion', '.', ' ', '(', 'kafka.log.Log', ')']"
3447,"['[', '2020-03-12', ' ', '23:18:38,965', ']', ' ', 'INFO']","[' ', '[', 'Log', ' ', 'partition', '=', 'pageAgentTopic-3', ',', ' ', 'dir', '=', '/data/appData/kafka', ']', ' ', 'Incrementing', ' ', 'log', ' ', 'start', ' ', 'offset', ' ', 'to', ' ', '1309227', ' ', '(', 'kafka.log.Log', ')']"
3448,"['[', '2020-03-12', ' ', '23:19:38,965', ']', ' ', 'INFO']","[' ', '[', 'Log', ' ', 'partition', '=', 'pageAgentTopic-3', ',', ' ', 'dir', '=', '/data/appData/kafka', ']', ' ', 'Deleting', ' ', 'segment', ' ', '1303722', ' ', '(', 'kafka.log.Log', ')']"
3449,"['[', '2020-03-12', ' ', '23:19:38,966', ']', ' ', 'INFO']","[' ', 'Deleted', ' ', 'log', ' ', '/data/appData/kafka/pageAgentTopic-3/00000000000001303722.log.deleted', '.', ' ', '(', 'kafka.log.LogSegment', ')']"
3450,"['[', '2020-03-12', ' ', '23:19:38,968', ']', ' ', 'INFO']","[' ', 'Deleted', ' ', 'offset', ' ', 'index', ' ', '/data/appData/kafka/pageAgentTopic-3/00000000000001303722.index.deleted', '.', ' ', '(', 'kafka.log.LogSegment', ')']"
3451,"['[', '2020-03-12', ' ', '23:19:38,968', ']', ' ', 'INFO']","[' ', 'Deleted', ' ', 'time', ' ', 'index', ' ', '/data/appData/kafka/pageAgentTopic-3/00000000000001303722.timeindex.deleted', '.', ' ', '(', 'kafka.log.LogSegment', ')']"
